relay,non_censored_blocks,all_blocks,share
manifold,142,649,21.879815100154083
aestus,312,9520,3.2773109243697482
ultrasound,2613,83195,3.140813750826372
bloxroute (max profit),2026,73903,2.7414313356697293
agnostic Gnosis,1488,54691,2.7207401583441517
bloxroute (regulated),5,45490,0.010991426687183996
eden,0,3669,0.0
bloxroute (ethical),0,7,0.0
blocknative,0,35735,0.0
flashbots,0,63606,0.0
