timestamp,builder,slot
2023-01-25,beaverbuild.org,1859
2022-11-02,Flashbots,1859
2022-12-01,builder0x69,1859
2023-05-02,beaverbuild.org,1858
2023-08-04,rsync-builder.xyz,1858
2023-05-03,builder0x69,1857
2023-05-10,builder0x69,1856
2023-05-23,builder0x69,1854
2022-10-04,Flashbots,1853
2023-04-18,builder0x69,1853
2023-05-01,builder0x69,1852
2023-07-13,beaverbuild.org,1852
2023-06-09,rsync-builder.xyz,1848
2023-05-04,builder0x69,1845
2023-09-17,beaverbuild.org,1844
2023-04-19,beaverbuild.org,1843
2023-02-02,Flashbots,1842
2023-05-09,builder0x69,1833
2022-11-28,builder0x69,1831
2023-09-16,Titan Builder,1828
2023-08-12,beaverbuild.org,1827
2023-05-31,beaverbuild.org,1824
2023-09-14,beaverbuild.org,1824
2023-06-27,beaverbuild.org,1818
2023-08-28,Titan Builder,1816
2023-08-12,rsync-builder.xyz,1815
2022-11-25,builder0x69,1815
2023-07-26,rsync-builder.xyz,1815
2023-01-13,beaverbuild.org,1815
2023-08-31,Titan Builder,1815
2022-12-02,builder0x69,1813
2022-11-28,Flashbots,1813
2023-05-28,builder0x69,1812
2023-03-26,builder0x69,1811
2023-06-01,beaverbuild.org,1810
2023-09-05,rsync-builder.xyz,1809
2023-07-07,beaverbuild.org,1807
2023-05-26,beaverbuild.org,1804
2023-08-09,beaverbuild.org,1801
2022-11-05,builder0x69,1801
2022-10-27,Flashbots,1800
2023-05-25,builder0x69,1800
2023-08-15,rsync-builder.xyz,1799
2023-06-08,beaverbuild.org,1799
2023-05-12,builder0x69,1795
2023-08-02,rsync-builder.xyz,1792
2023-08-06,rsync-builder.xyz,1791
2022-10-11,Flashbots,1791
2023-07-29,rsync-builder.xyz,1791
2023-09-04,Titan Builder,1791
2023-07-12,builder0x69,1790
2023-01-24,Flashbots,1789
2023-02-11,builder0x69,1787
2022-11-01,builder0x69,1787
2022-09-29,Flashbots,1786
2023-06-12,beaverbuild.org,1786
2023-04-23,builder0x69,1785
2023-01-11,beaverbuild.org,1783
2023-08-11,rsync-builder.xyz,1782
2023-07-20,rsync-builder.xyz,1782
2023-07-28,rsync-builder.xyz,1782
2023-02-18,builder0x69,1780
2023-05-14,builder0x69,1779
2022-10-07,Flashbots,1779
2023-01-12,Flashbots,1779
2023-06-04,beaverbuild.org,1778
2023-04-22,builder0x69,1776
2023-09-13,beaverbuild.org,1775
2022-10-21,Flashbots,1774
2022-10-01,Flashbots,1774
2023-09-08,Titan Builder,1774
2023-09-19,beaverbuild.org,1772
2023-04-17,builder0x69,1771
2023-04-21,builder0x69,1770
2022-10-29,Flashbots,1766
2022-11-22,Flashbots,1764
2023-02-08,Flashbots,1763
2023-07-25,rsync-builder.xyz,1760
2023-01-30,beaverbuild.org,1759
2023-08-11,beaverbuild.org,1757
2023-08-02,beaverbuild.org,1756
2023-06-28,beaverbuild.org,1756
2023-09-10,beaverbuild.org,1755
2022-10-25,Flashbots,1754
2023-08-13,rsync-builder.xyz,1751
2023-02-12,builder0x69,1751
2023-05-26,builder0x69,1750
2023-04-08,builder0x69,1750
2023-05-29,beaverbuild.org,1749
2023-09-06,rsync-builder.xyz,1748
2023-04-28,builder0x69,1748
2023-05-16,builder0x69,1747
2023-02-13,beaverbuild.org,1744
2023-01-04,beaverbuild.org,1738
2023-08-21,Titan Builder,1737
2023-03-25,builder0x69,1735
2023-03-07,Flashbots,1733
2023-04-14,beaverbuild.org,1733
2023-05-08,builder0x69,1732
2023-07-17,beaverbuild.org,1731
2023-05-05,rsync-builder.xyz,1730
2023-07-21,rsync-builder.xyz,1729
2022-11-29,builder0x69,1729
2023-04-28,beaverbuild.org,1728
2023-02-10,beaverbuild.org,1728
2023-09-18,beaverbuild.org,1726
2023-05-20,builder0x69,1726
2023-06-29,beaverbuild.org,1724
2023-06-16,builder0x69,1724
2022-11-06,builder0x69,1723
2023-09-13,Titan Builder,1722
2023-08-01,rsync-builder.xyz,1721
2022-11-30,beaverbuild.org,1719
2023-01-04,Flashbots,1717
2023-08-25,beaverbuild.org,1717
2023-04-30,builder0x69,1716
2022-10-31,Flashbots,1716
2023-08-05,rsync-builder.xyz,1715
2023-03-03,Flashbots,1714
2023-02-05,builder0x69,1714
2022-10-12,Flashbots,1713
2022-11-08,Flashbots,1713
2022-09-28,Flashbots,1711
2022-10-20,Flashbots,1709
2023-03-04,Flashbots,1709
2023-03-29,builder0x69,1709
2023-08-13,beaverbuild.org,1708
2023-03-08,Flashbots,1708
2023-07-27,rsync-builder.xyz,1706
2023-09-12,Titan Builder,1706
2023-05-15,builder0x69,1706
2023-05-17,builder0x69,1703
2023-02-02,builder0x69,1703
2023-08-25,rsync-builder.xyz,1700
2023-04-25,rsync-builder.xyz,1700
2022-11-01,Flashbots,1700
2022-10-30,Flashbots,1698
2023-06-01,builder0x69,1698
2023-05-31,builder0x69,1698
2023-03-22,beaverbuild.org,1697
2023-09-09,beaverbuild.org,1695
2023-02-21,builder0x69,1694
2023-08-07,rsync-builder.xyz,1694
2022-10-23,Flashbots,1693
2023-08-23,beaverbuild.org,1693
2022-09-30,Flashbots,1692
2023-02-17,builder0x69,1691
2023-08-07,beaverbuild.org,1690
2023-01-20,Flashbots,1690
2022-11-08,beaverbuild.org,1688
2023-05-24,builder0x69,1688
2022-11-21,builder0x69,1686
2023-05-30,builder0x69,1682
2023-01-05,Flashbots,1682
2022-10-16,Flashbots,1680
2023-09-07,rsync-builder.xyz,1679
2023-02-07,Flashbots,1678
2023-06-24,beaverbuild.org,1677
2022-10-14,Flashbots,1677
2023-09-01,rsync-builder.xyz,1676
2023-04-26,rsync-builder.xyz,1675
2023-01-11,Flashbots,1673
2023-02-01,builder0x69,1672
2023-03-05,Flashbots,1670
2022-10-08,Flashbots,1669
2022-12-06,Flashbots,1666
2022-10-18,Flashbots,1665
2022-10-17,Flashbots,1665
2023-02-14,builder0x69,1665
2023-02-09,beaverbuild.org,1663
2023-09-06,beaverbuild.org,1663
2023-04-09,builder0x69,1662
2023-05-07,rsync-builder.xyz,1661
2023-01-07,Flashbots,1659
2023-03-10,Flashbots,1658
2023-05-05,builder0x69,1657
2023-04-29,beaverbuild.org,1657
2023-04-04,builder0x69,1656
2022-10-10,Flashbots,1656
2023-03-30,builder0x69,1655
2023-09-04,beaverbuild.org,1655
2023-08-03,rsync-builder.xyz,1654
2023-01-31,beaverbuild.org,1653
2023-05-24,beaverbuild.org,1651
2023-08-14,rsync-builder.xyz,1649
2023-05-06,rsync-builder.xyz,1648
2023-08-31,rsync-builder.xyz,1647
2023-08-19,beaverbuild.org,1645
2023-02-04,builder0x69,1645
2022-11-27,Flashbots,1644
2022-11-02,builder0x69,1643
2022-11-07,builder0x69,1641
2023-02-01,Flashbots,1641
2023-01-19,builder0x69,1641
2023-07-02,beaverbuild.org,1640
2023-02-06,builder0x69,1637
2022-11-23,builder0x69,1637
2023-01-27,beaverbuild.org,1636
2023-08-16,rsync-builder.xyz,1636
2022-12-28,Flashbots,1636
