timestamp,relay,slot
2023-09-10,ultrasound,2868
2023-08-01,ultrasound,2865
2023-09-15,ultrasound,2864
2023-09-07,ultrasound,2859
2023-07-16,ultrasound,2857
2023-07-08,ultrasound,2855
2023-07-09,ultrasound,2854
2022-10-20,Other/None,2852
2023-05-22,ultrasound,2851
2023-06-19,ultrasound,2851
2023-07-30,ultrasound,2850
2023-07-23,ultrasound,2849
2022-10-21,Other/None,2848
2022-10-04,flashbots,2845
2023-09-03,ultrasound,2837
2023-06-14,ultrasound,2831
2023-06-18,ultrasound,2831
2023-09-16,ultrasound,2831
2023-07-24,ultrasound,2826
2023-04-28,ultrasound,2825
2023-05-02,ultrasound,2824
2023-06-16,ultrasound,2822
2022-10-03,flashbots,2817
2023-08-16,bloxroute (max profit),2816
2023-07-31,ultrasound,2813
2023-09-09,ultrasound,2813
2023-05-01,ultrasound,2799
2023-05-20,ultrasound,2798
2023-08-17,bloxroute (max profit),2797
2022-10-23,Other/None,2792
2023-05-06,ultrasound,2791
2023-05-05,ultrasound,2787
2023-04-29,ultrasound,2783
2022-10-02,flashbots,2778
2023-09-08,ultrasound,2776
2022-10-24,Other/None,2772
2022-10-22,Other/None,2770
2023-05-13,ultrasound,2770
2023-06-17,ultrasound,2770
2023-06-15,ultrasound,2763
2023-04-13,Other/None,2757
2023-05-04,ultrasound,2750
2023-06-30,ultrasound,2750
2022-10-10,flashbots,2749
2023-05-14,ultrasound,2748
2023-07-15,ultrasound,2742
2023-04-07,ultrasound,2734
2023-07-01,ultrasound,2734
2023-07-17,flashbots,2729
2023-02-26,flashbots,2726
2022-10-08,flashbots,2707
2023-05-18,ultrasound,2706
2023-07-02,ultrasound,2701
2023-08-28,bloxroute (max profit),2698
2023-06-12,ultrasound,2694
2023-08-22,bloxroute (max profit),2691
2023-07-17,ultrasound,2690
2023-06-08,ultrasound,2680
2023-04-24,ultrasound,2679
2023-02-25,flashbots,2676
2023-08-21,bloxroute (max profit),2675
2023-04-22,ultrasound,2668
2023-04-30,ultrasound,2659
2023-08-24,bloxroute (max profit),2658
2023-05-29,ultrasound,2652
2023-08-29,bloxroute (max profit),2651
2023-05-30,ultrasound,2644
2023-05-10,ultrasound,2642
2023-06-29,ultrasound,2641
2023-08-06,ultrasound,2640
2023-09-06,bloxroute (max profit),2640
2022-09-30,flashbots,2637
2023-06-01,ultrasound,2634
2023-05-24,ultrasound,2633
2023-08-14,bloxroute (max profit),2633
2023-08-05,ultrasound,2627
2023-09-02,ultrasound,2627
2023-08-28,ultrasound,2626
2023-09-04,bloxroute (max profit),2625
2023-08-16,ultrasound,2621
2023-05-28,ultrasound,2619
2023-02-23,flashbots,2617
2023-04-23,ultrasound,2614
2023-08-11,bloxroute (max profit),2614
2023-08-30,ultrasound,2610
2023-05-27,ultrasound,2606
2023-05-31,ultrasound,2606
2023-08-21,ultrasound,2606
2023-03-09,flashbots,2604
